section,category,metric,type,date,value
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-23,15572
Vaccine Administration,Administration,Daily,Moderna,2021-01-23,8236
Vaccine Administration,Administration,Daily,Pfizer,2021-01-23,7332
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-23,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-24,476353
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-24,234640
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-24,241634
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-24,91
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-01-24,600257
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-01-24,306168
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-01-24,293954
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-01-24,120
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-24,6732
Vaccine Administration,Administration,Daily,Moderna,2021-01-24,3434
Vaccine Administration,Administration,Daily,Pfizer,2021-01-24,3298
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-24,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-01-24,130609
Vaccine Administration,Administration,Weekly,Moderna,2021-01-24,74962
Vaccine Administration,Administration,Weekly,Pfizer,2021-01-24,55618
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-01-24,29
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-25,494122
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-25,247649
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-25,246392
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-25,93
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-25,17769
Vaccine Administration,Administration,Daily,Moderna,2021-01-25,13009
Vaccine Administration,Administration,Daily,Pfizer,2021-01-25,4758
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-25,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-26,512416
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-26,260854
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-26,251479
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-26,95
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-26,18294
Vaccine Administration,Administration,Daily,Moderna,2021-01-26,13205
Vaccine Administration,Administration,Daily,Pfizer,2021-01-26,5087
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-26,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-27,537244
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-27,276685
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-27,260476
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-27,96
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-27,24828
Vaccine Administration,Administration,Daily,Moderna,2021-01-27,15831
Vaccine Administration,Administration,Daily,Pfizer,2021-01-27,8997
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-27,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-28,558934
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-28,290930
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-28,267918
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-28,102
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-28,21690
Vaccine Administration,Administration,Daily,Moderna,2021-01-28,14245
Vaccine Administration,Administration,Daily,Pfizer,2021-01-28,7442
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-28,6
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-29,582344
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-29,300659
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-29,281598
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-29,104
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-29,23410
Vaccine Administration,Administration,Daily,Moderna,2021-01-29,9729
Vaccine Administration,Administration,Daily,Pfizer,2021-01-29,13680
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-29,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-30,600223
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-30,306168
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-30,293954
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-30,120
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-30,17879
Vaccine Administration,Administration,Daily,Moderna,2021-01-30,5509
Vaccine Administration,Administration,Daily,Pfizer,2021-01-30,12356
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-30,16
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-31,609629
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-31,308262
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-31,301268
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-31,120
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-01-31,657762
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-01-31,334154
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-01-31,323462
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-01-31,131
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-31,9406
Vaccine Administration,Administration,Daily,Moderna,2021-01-31,2094
Vaccine Administration,Administration,Daily,Pfizer,2021-01-31,7314
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-31,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-01-31,57505
Vaccine Administration,Administration,Weekly,Moderna,2021-01-31,27986
Vaccine Administration,Administration,Weekly,Pfizer,2021-01-31,29508
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-01-31,11
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-01,625927
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-01,315907
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-01,309921
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-01,120
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-01,16298
Vaccine Administration,Administration,Daily,Moderna,2021-02-01,7645
Vaccine Administration,Administration,Daily,Pfizer,2021-02-01,8653
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-01,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-02,641917
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-02,325175
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-02,316638
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-02,126
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-02,15990
Vaccine Administration,Administration,Daily,Moderna,2021-02-02,9268
Vaccine Administration,Administration,Daily,Pfizer,2021-02-02,6717
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-02,6
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-03,657725
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-03,334154
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-03,323462
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-03,131
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-03,15808
Vaccine Administration,Administration,Daily,Moderna,2021-02-03,8979
Vaccine Administration,Administration,Daily,Pfizer,2021-02-03,6824
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-03,5
Demographics,Age Group,0-9,All COVID Vaccines,NA,0
Demographics,Age Group,10-19,All COVID Vaccines,NA,0.0044
Demographics,Age Group,20-29,All COVID Vaccines,NA,0.0844
Demographics,Age Group,30-39,All COVID Vaccines,NA,0.1256
Demographics,Age Group,40-49,All COVID Vaccines,NA,0.1117
Demographics,Age Group,50-59,All COVID Vaccines,NA,0.1016
Demographics,Age Group,60-69,All COVID Vaccines,NA,0.0862
Demographics,Age Group,70-79,All COVID Vaccines,NA,0.3348
Demographics,Age Group,80+,All COVID Vaccines,NA,0.1507
Demographics,Percent of Colorado Population,0-9,NA,NA,0.1161
Demographics,Percent of Colorado Population,10-19,NA,NA,0.1301
Demographics,Percent of Colorado Population,20-29,NA,NA,0.1466
Demographics,Percent of Colorado Population,30-39,NA,NA,0.146
Demographics,Percent of Colorado Population,40-49,NA,NA,0.1298
Demographics,Percent of Colorado Population,50-59,NA,NA,0.1248
Demographics,Percent of Colorado Population,60-69,NA,NA,0.1104
Demographics,Percent of Colorado Population,70-79,NA,NA,0.0644
Demographics,Percent of Colorado Population,80+,NA,NA,0.032
Demographics,Percent of Colorado Population,American Indian or Alaska Native,NA,NA,0.0056
Demographics,Percent of Colorado Population,Asian,NA,NA,0.0312
Demographics,Percent of Colorado Population,Black or African American,NA,NA,0.0392
Demographics,Percent of Colorado Population,Female,NA,NA,0.4996
Demographics,Percent of Colorado Population,"Hispanic, All Races",NA,NA,0.2169
Demographics,Percent of Colorado Population,Male,NA,NA,0.5004
Demographics,Percent of Colorado Population,Multiple Races - Non Hispanic,NA,NA,0.0265
Demographics,Percent of Colorado Population,Native Hawaiian or Other Pacific Islander,NA,NA,0.0012
Demographics,Percent of Colorado Population,Other,NA,NA,0.0019
Demographics,Percent of Colorado Population,White - Non Hispanic,NA,NA,0.6776
Demographics,Race and Ethnicity,American Indian or Alaskan Native - Non Hispanic,All COVID Vaccines,NA,0.0046
Demographics,Race and Ethnicity,Asian - Non Hispanic,All COVID Vaccines,NA,0.0179
Demographics,Race and Ethnicity,Black or African American - Non Hispanic,All COVID Vaccines,NA,0.0196
Demographics,Race and Ethnicity,"Hispanic, All Races",All COVID Vaccines,NA,0.0508
Demographics,Race and Ethnicity,Multi Race - Non Hispanic,All COVID Vaccines,NA,0.0162
Demographics,Race and Ethnicity,Native Hawaiian or Other Pacific Islander - Non Hispanic,All COVID Vaccines,NA,0.0018
Demographics,Race and Ethnicity,Other,All COVID Vaccines,NA,0.0016
Demographics,Race and Ethnicity,Unknown,All COVID Vaccines,NA,0.1593
Demographics,Race and Ethnicity,White - Non Hispanic,All COVID Vaccines,NA,0.7276
Demographics,Sex,Female,All COVID Vaccines,NA,0.6132
Demographics,Sex,Male,All COVID Vaccines,NA,0.3843
Demographics,Sex,Unknown,All COVID Vaccines,NA,0.0019
